Natural Gas Feed (kmol/h),Steam Feed (kmol/h),Temperature (°C),Total Annual Cost (TAC) [$/h],Hydrogen Production  Nm^3/h,CO in Tail Gas [frac]
1410.61,5555.7,624.819,7.41E+07,78745.5,0.0752313
1867.71,4227.06,638.887,9.59E+07,113774,0.0805479
2184.52,5426.5,634.865,9.81E+07,111066,0.0799301
1439.07,4774.34,631.906,7.81E+07,87015.7,0.0795012
1554.09,6047.42,632.308,7.98E+07,84498.5,0.0812868
1866.99,3737.27,618.7,8.77E+07,102979,0.063835
1230.3,4788.68,623.463,6.93E+07,75021.8,0.0736882
1366.84,6376.43,620.684,7.13E+07,72118,0.0716589
1254.94,6081.72,609.031,6.58E+07,65256.9,0.0625435
2340.12,5367.25,627.49,9.80E+07,110128,0.0728992
1705.18,5347.22,625.425,8.23E+07,90276,0.0732453
2028.46,3876.23,608.381,8.52E+07,97565.7,0.0567259
1423.83,3269.95,643.591,8.71E+07,106081,0.0709165
1654.89,3568.31,633.954,9.04E+07,108527,0.0717762
2252.09,3943.27,620.74,9.61E+07,112872,0.067668
1525.72,3310.68,646.8,9.21E+07,113330,0.0746668
2221.78,6092.45,618.39,9.00E+07,96489,0.064885
2116.82,3619.3,631.761,1.01E+08,122527,0.0777504
1978.95,4249.41,620.4,8.94E+07,103279,0.066034
1686.47,4163.93,635.621,8.89E+07,104541,0.0774622
2368.54,4916.01,614.796,9.26E+07,104153,0.06182
2301.37,5947.97,612.472,8.90E+07,94968.4,0.0600482
2097.17,4939.98,610.279,8.56E+07,94227.1,0.0585925
1631.09,5131.2,647.143,8.81E+07,100533,0.0937801
2063.52,4430.67,618.439,8.97E+07,102887,0.0646877
1400.66,6056.8,626.439,7.39E+07,76773.7,0.076631
1652.16,4753.46,632.697,8.49E+07,96346.9,0.078643
1343.45,4399.68,616.838,7.14E+07,79388.2,0.0654699
1496.15,4708.1,615.385,7.46E+07,82211.6,0.0646892
1589.15,3849.51,639.153,8.88E+07,105740,0.0772869
1299.12,4834.7,609.58,6.77E+07,72216.2,0.0618695
1565.39,4261.64,639.449,8.62E+07,100989,0.0817888
1595.95,4176.97,643.961,8.91E+07,105506,0.0843912
2270.69,3212.98,610.803,9.07E+07,106902,0.0655607
2317.56,5081.8,630.464,1.00E+08,114140,0.0755862
2260.85,6398.41,642.271,1.01E+08,111697,0.0870916
1393.25,4243.57,623.68,7.54E+07,85251.6,0.0696361
1544.87,4139.92,640.329,8.65E+07,101498,0.081251
1530.06,6031.59,607.894,7.21E+07,73469.1,0.0600641
